device,precision,run,latency_ms,mem_mb,power_w
npu,int8,32,2.213,177.0,2.33
npu,int8,33,2.207,177.0,2.33
npu,int8,34,2.204,177.0,2.33
npu,int8,35,2.235,177.0,2.33
npu,int8,36,2.224,177.0,2.33
npu,int8,37,2.205,177.0,2.33
npu,int8,38,2.217,177.0,2.33
npu,int8,39,2.248,177.0,2.33
npu,int8,40,2.221,177.0,2.33
npu,int8,41,2.214,177.0,2.33
npu,int8,42,2.213,177.0,2.33
npu,int8,43,2.268,177.0,2.33
npu,int8,44,2.22,177.0,2.33
npu,int8,45,2.218,177.0,2.33
npu,int8,46,2.226,177.0,2.33
npu,int8,47,2.275,177.0,2.33
npu,int8,48,2.216,177.0,2.33
npu,int8,49,2.214,177.0,2.33
npu,int8,50,2.21,177.0,2.33
npu,int8,51,2.257,177.0,2.33
npu,int8,52,2.212,177.0,2.33
npu,int8,53,2.219,177.0,2.33
npu,int8,54,2.251,177.0,2.33
npu,int8,55,2.306,177.0,2.33
npu,int8,56,2.196,177.0,2.33
npu,int8,57,2.205,177.0,2.33
npu,int8,58,2.212,177.0,2.33
npu,int8,59,2.241,177.0,2.33
npu,int8,60,2.219,177.0,2.33
npu,int8,61,2.21,177.0,2.33
npu,int8,62,2.208,177.0,2.33
npu,int8,63,2.266,177.0,2.33
npu,int8,64,2.222,177.0,2.33
npu,int8,65,2.238,177.0,2.33
npu,int8,66,2.236,177.0,2.33
npu,int8,67,2.276,177.0,2.33
npu,int8,68,2.209,177.0,2.33
npu,int8,69,2.208,177.0,2.33
npu,int8,70,2.225,177.0,2.33
npu,int8,71,2.227,177.0,2.33
npu,int8,72,2.214,177.0,2.33
npu,int8,73,2.224,177.0,2.33
npu,int8,74,2.234,177.0,2.33
npu,int8,75,2.213,177.0,2.33
npu,int8,76,2.219,177.0,2.33
npu,int8,77,2.209,177.0,2.33
npu,int8,78,2.24,177.0,2.33
npu,int8,79,2.241,177.0,2.33
npu,int8,80,2.207,177.0,2.33
npu,int8,81,2.204,177.0,2.33
npu,int8,82,2.213,177.0,2.33
npu,int8,83,2.211,177.0,2.33
npu,int8,84,2.206,177.0,2.33
npu,int8,85,2.218,177.0,2.33
npu,int8,86,2.223,177.0,2.33
npu,int8,87,2.217,177.0,2.33
npu,int8,88,2.204,177.0,2.33
npu,int8,89,2.208,177.0,2.33
npu,int8,90,2.242,177.0,2.33
npu,int8,91,2.232,177.0,2.33
npu,int8,92,2.213,177.0,2.33
npu,int8,93,2.211,177.0,2.33
npu,int8,94,2.245,177.0,2.33
npu,int8,95,2.234,177.0,2.33
npu,int8,96,2.211,177.0,2.33
npu,int8,97,2.224,177.0,2.33
npu,int8,98,2.227,177.0,2.33
npu,int8,99,2.236,177.0,2.33
npu,int8,100,2.224,177.0,2.33
